nom_ligne,jour,avg_passagers
B1,2053-03-11,34.666666666666664
B1,2053-03-12,37.0
B1,2053-03-13,22.75
B1,2053-03-14,30.5
B1,2053-03-15,32.0
B1,2053-03-16,28.0
B1,2053-03-17,37.5
B1,2053-03-18,27.0
B1,2053-03-19,17.0
B1,2053-03-20,24.166666666666668
B1,2053-03-21,0.0
B1,2053-03-24,28.0
B1,2053-03-25,28.25
B1,2053-03-26,22.666666666666668
B1,2053-03-27,30.75
B1,2053-03-28,24.75
B1,2053-03-29,37.0
B1,2053-03-30,27.5
B1,2053-03-31,27.4
B1,2053-04-01,41.0
B1,2053-04-02,32.5
B1,2053-04-03,26.0
B1,2053-04-04,42.0
B1,2053-04-05,31.0
B1,2053-04-06,33.75
B1,2053-04-07,30.333333333333332
B1,2053-04-08,26.75
B1,2053-04-09,34.5
B1,2053-04-10,36.333333333333336
B1,2053-04-11,33.5
B1,2053-04-12,34.0
B1,2053-04-13,34.5
B1,2053-04-14,30.571428571428573
B1,2053-04-15,31.25
B1,2053-04-16,48.0
B1,2053-04-17,23.5
B1,2053-04-18,35.5
B1,2053-04-19,38.333333333333336
B1,2053-04-20,29.833333333333332
B1,2053-04-21,34.25
B1,2053-04-22,33.0
B1,2053-04-23,30.333333333333332
B1,2053-04-24,28.833333333333332
B1,2053-04-25,30.5
B1,2053-04-26,27.0
B1,2053-04-27,32.0
B1,2053-04-28,29.5
B1,2053-04-29,34.4
B1,2053-04-30,33.5
B1,2053-05-01,21.666666666666668
B1,2053-05-02,30.666666666666668
B1,2053-05-03,31.0
B1,2053-05-04,30.4
B1,2053-05-05,35.0
B1,2053-05-06,33.0
B1,2053-05-07,28.0
B1,2053-05-08,38.0
B1,2053-05-09,37.0
B1,2053-05-10,31.6
B1,2053-05-11,30.0
B1,2053-05-12,31.0
B1,2053-05-13,25.714285714285715
B1,2053-05-14,30.0
B1,2053-05-15,26.0
B1,2053-05-16,34.0
B1,2053-05-17,27.75
B1,2053-05-18,38.5
B1,2053-05-19,32.5
B1,2053-05-20,32.0
B1,2053-05-21,30.666666666666668
B1,2053-05-22,34.0
B1,2053-05-23,34.0
B1,2053-05-24,36.5
B1,2053-05-25,32.857142857142854
B1,2053-05-26,30.0
B1,2053-05-27,26.0
B1,2053-05-28,26.666666666666668
B1,2053-05-29,37.5
B1,2053-05-30,21.5
B1,2053-05-31,30.0
B1,2053-06-01,24.0
B1,2053-06-02,20.833333333333332
B1,2053-06-03,23.25
B1,2053-06-04,36.0
B1,2053-06-05,33.6
B1,2053-06-06,36.0
B1,2053-06-07,37.0
B1,2053-06-08,30.0
B1,2053-06-09,33.5
B1,2053-06-10,34.0
B1,2053-06-11,35.5
B1,2053-06-12,26.0
B1,2053-06-13,23.0
B1,2053-06-14,35.0
B1,2053-06-15,44.0
B1,2053-06-16,27.0
B1,2053-06-17,27.0
B1,2053-06-18,30.6
B1,2053-06-19,29.5
B1,2053-06-20,25.333333333333332
B1,2053-06-21,20.5
B1,2053-06-22,32.0
B1,2053-06-23,31.6
B1,2053-06-24,32.2
B1,2053-06-25,11.0
B1,2053-06-26,24.0
B1,2053-06-27,28.666666666666668
B1,2053-06-28,24.5
B1,2053-06-29,30.5
B1,2053-06-30,37.0
B1,2053-07-01,22.0
B1,2053-07-03,28.666666666666668
B1,2053-07-04,22.0
B1,2053-07-05,40.5
B1,2053-07-06,31.4
B1,2053-07-07,19.5
B1,2053-07-08,26.0
B1,2053-07-09,19.0
B1,2053-07-10,15.0
B1,2053-07-11,30.5
B1,2053-07-12,24.333333333333332
B1,2053-07-13,23.666666666666668
B1,2053-07-14,30.833333333333332
B1,2053-07-15,34.5
B1,2053-07-16,41.0
B1,2053-07-17,26.333333333333332
B1,2053-07-18,26.0
B1,2053-07-19,26.0
B1,2053-07-20,21.5
B1,2053-07-21,22.0
B1,2053-07-22,25.6
B1,2053-07-23,26.0
B1,2053-07-24,32.5
B1,2053-07-25,29.5
B1,2053-07-26,23.666666666666668
B1,2053-07-27,24.0
B1,2053-07-28,28.0
B1,2053-07-29,25.375
B1,2053-07-30,32.0
B1,2053-07-31,28.0
B1,2053-08-01,28.0
B1,2053-08-02,34.5
B1,2053-08-03,28.0
B1,2053-08-04,33.75
B1,2053-08-05,40.0
B1,2053-08-06,25.75
B1,2053-08-07,35.0
B1,2053-08-08,33.25
B1,2053-08-09,29.333333333333332
B1,2053-08-10,38.4
B1,2053-08-11,28.75
B1,2053-08-12,26.0
B1,2053-08-13,30.75
B1,2053-08-14,25.5
B1,2053-08-15,25.0
B1,2053-08-16,33.0
B1,2053-08-17,29.0
B1,2053-08-18,36.25
B1,2053-08-19,23.5
B1,2053-08-20,36.0
B1,2053-08-21,30.0
B1,2053-08-23,24.0
B1,2053-08-24,17.0
B1,2053-08-25,26.5
B1,2053-08-26,32.25
B1,2053-08-27,29.25
B1,2053-08-28,31.666666666666668
B1,2053-08-29,19.0
B1,2053-08-30,30.0
B1,2053-08-31,31.5
B1,2053-09-01,30.2
B1,2053-09-02,27.25
B1,2053-09-03,33.25
B1,2053-09-04,30.2
B1,2053-09-05,29.0
B1,2053-09-06,38.0
B1,2053-09-07,21.5
B1,2053-09-08,42.0
B1,2053-09-09,30.25
B1,2053-09-10,32.5
B1,2053-09-11,26.666666666666668
B1,2053-09-12,27.25
B1,2053-09-13,37.333333333333336
B1,2053-09-14,36.0
B1,2053-09-15,25.5
B1,2053-09-16,30.333333333333332
B1,2053-09-17,25.2
B1,2053-09-18,31.0
B1,2053-09-19,26.714285714285715
B1,2053-09-20,23.0
B1,2053-09-21,19.333333333333332
B1,2053-09-22,33.333333333333336
B1,2053-09-23,32.666666666666664
B1,2053-09-24,26.2
B1,2053-09-25,22.0
B1,2053-09-26,33.5
B1,2053-09-27,27.0
B1,2053-09-28,34.333333333333336
B1,2053-09-29,23.5
B1,2053-09-30,24.5
B1,2053-10-01,30.0
B1,2053-10-02,22.5
B1,2053-10-03,30.75
B1,2053-10-04,28.285714285714285
B1,2053-10-06,27.0
B1,2053-10-07,21.5
B1,2053-10-09,32.0
B1,2053-10-10,32.0
B1,2053-10-11,32.5
B1,2053-10-12,27.5
B1,2053-10-13,11.666666666666666
B1,2053-10-14,21.0
B1,2053-10-15,29.0
B1,2053-10-16,22.75
B1,2053-10-17,45.0
B1,2053-10-18,32.0
B1,2053-10-19,29.666666666666668
B1,2053-10-20,44.0
B1,2053-10-21,40.666666666666664
B1,2053-10-22,26.333333333333332
B1,2053-10-23,23.333333333333332
B1,2053-10-24,35.8
B1,2053-10-25,20.666666666666668
B1,2053-10-26,23.0
B1,2053-10-27,34.25
B1,2053-10-28,39.5
B1,2053-10-29,29.8
B1,2053-10-30,24.0
B1,2053-10-31,35.5
B1,2053-11-01,32.25
B1,2053-11-02,34.25
B1,2053-11-03,29.0
B1,2053-11-04,35.5
B1,2053-11-05,45.0
B1,2053-11-06,25.625
B1,2053-11-07,31.0
B1,2053-11-08,21.666666666666668
B1,2053-11-09,27.0
B1,2053-11-10,32.5
B1,2053-11-11,32.0
B1,2053-11-12,42.0
B1,2053-11-13,27.666666666666668
B1,2053-11-15,9.0
B1,2053-11-16,33.0
B1,2053-11-17,34.25
B1,2053-11-19,35.2
B1,2053-11-20,33.142857142857146
B1,2053-11-21,39.0
B1,2053-11-22,28.25
B1,2053-11-23,18.0
B1,2053-11-24,29.0
B1,2053-11-25,31.666666666666668
B1,2053-11-26,35.0
B1,2053-11-27,30.0
B1,2053-11-28,23.0
B1,2053-11-29,34.2
B1,2053-11-30,32.25
B1,2053-12-01,32.5
B1,2053-12-02,25.666666666666668
B1,2053-12-03,25.0
B1,2053-12-04,23.75
B1,2053-12-05,37.75
B1,2053-12-06,33.5
B1,2053-12-07,37.5
B1,2053-12-08,46.5
B1,2053-12-09,30.5
B1,2053-12-10,24.5
B1,2053-12-11,30.0
B1,2053-12-12,29.333333333333332
B1,2053-12-13,21.0
B1,2053-12-14,22.2
B1,2053-12-15,36.333333333333336
B1,2053-12-16,37.285714285714285
B1,2053-12-17,33.5
B1,2053-12-18,26.0
B1,2053-12-19,33.0
B1,2053-12-20,30.25
B1,2053-12-21,27.75
B1,2053-12-22,44.0
B1,2053-12-23,30.857142857142858
B1,2053-12-24,31.5
B1,2053-12-25,26.0
B1,2053-12-26,30.75
B1,2053-12-27,26.75
B1,2053-12-28,22.5
B1,2053-12-29,19.0
B1,2053-12-30,36.333333333333336
B1,2053-12-31,27.333333333333332
B10,2053-01-01,26.3
B10,2053-01-02,28.571428571428573
B10,2053-01-03,28.0
B10,2053-01-04,33.8
B10,2053-01-05,27.88888888888889
B10,2053-01-06,34.666666666666664
B10,2053-01-07,35.0
B10,2053-01-08,30.25
B10,2053-01-09,29.25
B10,2053-01-10,16.0
B10,2053-01-11,30.0
B10,2053-01-12,27.8
B10,2053-01-13,26.5
B10,2053-01-14,25.75
B10,2053-01-15,31.833333333333332
B10,2053-01-16,37.125
B10,2053-01-17,23.0
B10,2053-01-18,31.5
B10,2053-01-19,28.666666666666668
B10,2053-01-20,27.25
B10,2053-01-21,34.5
B10,2053-01-22,26.333333333333332
B10,2053-01-23,25.4
B10,2053-01-24,36.166666666666664
B10,2053-01-25,26.571428571428573
B10,2053-01-26,17.0
B10,2053-01-27,16.5
B10,2053-01-28,31.8
B10,2053-01-29,28.4
B10,2053-01-30,36.333333333333336
B10,2053-01-31,30.0
B10,2053-02-01,40.0
B10,2053-02-02,27.8
B10,2053-02-03,21.4
B10,2053-02-04,33.57142857142857
B10,2053-02-05,21.0
B10,2053-02-06,36.0
B10,2053-02-07,30.5
B10,2053-02-08,24.0
B10,2053-02-09,39.2
B10,2053-02-10,30.333333333333332
B10,2053-02-11,34.4
B10,2053-02-12,35.0
B10,2053-02-13,25.2
B10,2053-02-14,30.0
B10,2053-02-15,32.36363636363637
B10,2053-02-16,27.875
B10,2053-02-17,34.57142857142857
B10,2053-02-18,28.75
B10,2053-02-19,28.571428571428573
B10,2053-02-20,34.5
B10,2053-02-21,28.8
B10,2053-02-22,29.9
B10,2053-02-23,35.0
B10,2053-02-24,40.166666666666664
B10,2053-02-25,37.333333333333336
B10,2053-02-26,30.5
B10,2053-02-27,29.8
B10,2053-02-28,31.166666666666668
B10,2053-03-01,31.666666666666668
B10,2053-03-02,35.5
B10,2053-03-03,28.0
B10,2053-03-04,27.875
B10,2053-03-05,28.0
B10,2053-03-06,29.166666666666668
B10,2053-03-07,30.4
B10,2053-03-08,31.5
B10,2053-03-09,34.75
B10,2053-03-11,35.0
B10,2053-03-12,30.75
B10,2053-03-13,34.0
B10,2053-03-14,24.0
B10,2053-03-15,29.77777777777778
B10,2053-03-16,35.57142857142857
B10,2053-03-17,29.6
B10,2053-03-18,34.166666666666664
B10,2053-03-19,33.75
B10,2053-03-20,35.0
B10,2053-03-21,25.333333333333332
B10,2053-03-22,32.6
B10,2053-03-23,27.571428571428573
B10,2053-03-24,34.166666666666664
B10,2053-03-25,31.0
B10,2053-03-26,31.833333333333332
B10,2053-03-27,34.0
B10,2053-03-28,29.8
B10,2053-03-29,36.4
B10,2053-03-30,25.333333333333332
B10,2053-03-31,31.75
B10,2053-04-01,25.142857142857142
B10,2053-04-02,27.0
B10,2053-04-03,26.0
B10,2053-04-04,23.0
B10,2053-04-05,37.8
B10,2053-04-06,33.75
B10,2053-04-07,32.0
B10,2053-04-08,26.625
B10,2053-04-09,29.6
B10,2053-04-10,33.0
B10,2053-04-11,25.0
B10,2053-04-12,30.8
B10,2053-04-13,36.75
B10,2053-04-14,28.5
B10,2053-04-15,27.0
B10,2053-04-16,28.5
B10,2053-04-17,23.25
B10,2053-04-18,35.166666666666664
B10,2053-04-19,23.6
B10,2053-04-20,26.2
B10,2053-04-21,26.25
B10,2053-04-22,38.75
B10,2053-04-23,33.5
B10,2053-04-24,30.444444444444443
B10,2053-04-25,31.571428571428573
B10,2053-04-26,38.8
B10,2053-04-27,22.0
B10,2053-04-28,21.0
B10,2053-04-29,35.25
B10,2053-04-30,19.0
B10,2053-05-01,30.333333333333332
B10,2053-05-02,21.0
B10,2053-05-03,29.0
B10,2053-05-04,28.0
B10,2053-05-05,33.666666666666664
B10,2053-05-06,28.428571428571427
B10,2053-05-07,32.125
B10,2053-05-08,27.0
B10,2053-05-09,31.0
B10,2053-05-10,25.75
B10,2053-05-11,25.5
B10,2053-05-12,29.6
B10,2053-05-13,34.5
B10,2053-05-14,28.333333333333332
B10,2053-05-15,25.333333333333332
B10,2053-05-16,30.2
B10,2053-05-17,30.5
B10,2053-05-18,31.0
B10,2053-05-19,27.8
B10,2053-05-20,23.333333333333332
B10,2053-05-21,29.857142857142858
B10,2053-05-22,32.5
B10,2053-05-23,32.6
B10,2053-05-24,36.0
B10,2053-05-25,34.5
B10,2053-05-26,30.666666666666668
B10,2053-05-27,36.333333333333336
B10,2053-05-28,39.0
B10,2053-05-29,30.857142857142858
B10,2053-05-30,28.555555555555557
B10,2053-05-31,30.75
B10,2053-06-01,34.0
B10,2053-06-02,39.333333333333336
B10,2053-06-03,24.166666666666668
B10,2053-06-04,44.0
B10,2053-06-05,27.75
B10,2053-06-06,27.5
B10,2053-06-07,27.833333333333332
B10,2053-06-08,30.8
B10,2053-06-09,36.666666666666664
B10,2053-06-10,25.428571428571427
B10,2053-06-11,23.6
B10,2053-06-12,26.25
B10,2053-06-13,32.333333333333336
B10,2053-06-14,34.0
B10,2053-06-15,28.0
B10,2053-06-16,26.142857142857142
B10,2053-06-17,30.0
B10,2053-06-18,22.333333333333332
B10,2053-06-19,30.0
B10,2053-06-20,35.2
B10,2053-06-21,31.666666666666668
B10,2053-06-22,37.25
B10,2053-06-23,26.857142857142858
B10,2053-06-24,34.5
B10,2053-06-25,35.5
B10,2053-06-26,33.0
B10,2053-06-27,23.0
B10,2053-06-28,22.0
B10,2053-06-29,27.333333333333332
B10,2053-06-30,33.75
B10,2053-07-01,20.666666666666668
B10,2053-07-02,37.333333333333336
B10,2053-07-03,30.333333333333332
B10,2053-07-04,37.0
B10,2053-07-05,41.0
B10,2053-07-06,37.25
B10,2053-07-07,28.666666666666668
B10,2053-07-08,35.75
B10,2053-07-09,23.4
B10,2053-07-10,28.4
B10,2053-07-11,30.0
B10,2053-07-12,30.2
B10,2053-07-13,23.5
B10,2053-07-14,24.8
B10,2053-07-15,44.5
B10,2053-07-16,23.5
B10,2053-07-17,34.666666666666664
B10,2053-07-18,25.0
B10,2053-07-19,20.333333333333332
B10,2053-07-20,26.0
B10,2053-07-21,27.4
B10,2053-07-22,29.333333333333332
B10,2053-07-23,27.333333333333332
B10,2053-07-24,27.714285714285715
B10,2053-07-25,36.8
B10,2053-07-26,23.333333333333332
B10,2053-07-27,24.8
B10,2053-07-28,24.5
B10,2053-07-29,38.0
B10,2053-07-30,30.0
B10,2053-07-31,28.5
B10,2053-08-01,35.75
B10,2053-08-02,27.333333333333332
B10,2053-08-03,29.0
B10,2053-08-04,27.25
B10,2053-08-05,28.0
B10,2053-08-06,26.8
B10,2053-08-07,30.333333333333332
B10,2053-08-08,41.0
B10,2053-08-09,26.5
B10,2053-08-10,26.88888888888889
B10,2053-08-11,35.8
B10,2053-08-12,31.0
B10,2053-08-13,21.833333333333332
B10,2053-08-14,32.0
B10,2053-08-15,22.833333333333332
B10,2053-08-16,26.25
B10,2053-08-17,25.166666666666668
B10,2053-08-18,30.5
B10,2053-08-19,26.6
B10,2053-08-20,34.5
B10,2053-08-21,29.0
B10,2053-08-22,25.0
B10,2053-08-23,34.333333333333336
B10,2053-08-24,29.0
B10,2053-08-25,34.5
B10,2053-08-26,31.75
B10,2053-08-27,28.0
B10,2053-08-28,27.428571428571427
B10,2053-08-29,43.5
B10,2053-08-30,25.8
B10,2053-08-31,19.0
B10,2053-09-01,25.4
B10,2053-09-02,28.11111111111111
B10,2053-09-03,37.5
B10,2053-09-04,26.5
B10,2053-09-05,27.6
B10,2053-09-06,26.5
B10,2053-09-07,32.666666666666664
B10,2053-09-08,33.875
B10,2053-09-09,28.142857142857142
B10,2053-09-10,25.8
B10,2053-09-11,32.333333333333336
B10,2053-09-12,30.25
B10,2053-09-13,25.142857142857142
B10,2053-09-14,36.285714285714285
B10,2053-09-15,32.0
B10,2053-09-16,21.428571428571427
B10,2053-09-17,20.0
B10,2053-09-18,35.2
B10,2053-09-19,39.0
B10,2053-09-20,25.5
B10,2053-09-21,34.5
B10,2053-09-22,26.25
B10,2053-09-23,31.5
B10,2053-09-24,34.666666666666664
B10,2053-09-25,25.2
B10,2053-09-26,26.5
B10,2053-09-27,26.0
B10,2053-09-28,32.5
B10,2053-09-29,23.571428571428573
B10,2053-09-30,27.6
B10,2053-10-01,32.857142857142854
B10,2053-10-02,27.4
B10,2053-10-03,38.0
B10,2053-10-04,29.0
B10,2053-10-05,26.2
B10,2053-10-06,26.0
B10,2053-10-07,30.8
B10,2053-10-08,24.714285714285715
B10,2053-10-09,32.4
B10,2053-10-10,21.0
B10,2053-10-11,28.25
B10,2053-10-12,22.0
B10,2053-10-13,24.0
B10,2053-10-14,36.2
B10,2053-10-15,31.0
B10,2053-10-16,24.9
B10,2053-10-17,39.285714285714285
B10,2053-10-18,27.0
B10,2053-10-19,45.0
B10,2053-10-20,20.25
B10,2053-10-21,30.2
B10,2053-10-22,30.714285714285715
B10,2053-10-23,26.666666666666668
B10,2053-10-24,27.2
B10,2053-10-25,23.5
B10,2053-10-26,33.333333333333336
B10,2053-10-27,30.625
B10,2053-10-28,31.5
B10,2053-10-29,26.4
B10,2053-10-30,27.428571428571427
B10,2053-10-31,23.5
B10,2053-11-01,42.5
B10,2053-11-02,27.5
B10,2053-11-03,27.25
B10,2053-11-04,27.0
B10,2053-11-05,30.0
B10,2053-11-06,32.333333333333336
B10,2053-11-07,31.5
B10,2053-11-08,30.75
B10,2053-11-09,28.75
B10,2053-11-10,35.0
B10,2053-11-11,27.833333333333332
B10,2053-11-12,30.75
B10,2053-11-13,31.75
B10,2053-11-14,27.0
B10,2053-11-15,36.6
B10,2053-11-16,28.666666666666668
B10,2053-11-17,28.25
B10,2053-11-18,28.666666666666668
B10,2053-11-19,28.5
B10,2053-11-20,29.0
B10,2053-11-21,39.4
B10,2053-11-22,26.25
B10,2053-11-23,31.0
B10,2053-11-24,25.875
B10,2053-11-25,27.8
B10,2053-11-26,29.5
B10,2053-11-27,30.0
B10,2053-11-28,22.75
B10,2053-11-29,28.5
B10,2053-11-30,28.4
B10,2053-12-01,35.5
B10,2053-12-02,29.5
B10,2053-12-03,29.5
B10,2053-12-04,12.4
B10,2053-12-05,26.0
B10,2053-12-06,33.6
B10,2053-12-07,24.0
B10,2053-12-08,30.4
B10,2053-12-09,28.333333333333332
B10,2053-12-10,21.0
B10,2053-12-11,28.916666666666668
B10,2053-12-12,33.666666666666664
B10,2053-12-13,23.5
B10,2053-12-14,25.25
B10,2053-12-15,31.125
B10,2053-12-16,26.6
B10,2053-12-17,28.0
B10,2053-12-18,32.111111111111114
B10,2053-12-19,27.5
B10,2053-12-20,32.8
B10,2053-12-21,35.42857142857143
B10,2053-12-22,24.8
B10,2053-12-23,33.0
B10,2053-12-24,30.285714285714285
B10,2053-12-25,25.5
B10,2053-12-26,31.0
B10,2053-12-27,23.833333333333332
B10,2053-12-28,37.8
B10,2053-12-29,36.0
B10,2053-12-30,29.0
B10,2053-12-31,21.666666666666668
B11,2053-01-01,29.0
B11,2053-01-02,28.125
B11,2053-01-03,29.11111111111111
B11,2053-01-04,28.4
B11,2053-01-05,32.375
B11,2053-01-06,12.0
B11,2053-01-07,30.142857142857142
B11,2053-01-08,28.8
B11,2053-01-09,26.5
B11,2053-01-10,32.4
B11,2053-01-11,32.0
B11,2053-01-12,29.666666666666668
B11,2053-01-13,28.25
B11,2053-01-14,26.75
B11,2053-01-15,32.0
B11,2053-01-16,36.2
B11,2053-01-17,28.75
B11,2053-01-18,33.3
B11,2053-01-19,27.428571428571427
B11,2053-01-20,35.0
B11,2053-01-21,25.5
B11,2053-01-22,32.44444444444444
B11,2053-01-23,30.833333333333332
B11,2053-01-24,28.5
B11,2053-01-25,35.333333333333336
B11,2053-01-26,30.166666666666668
B11,2053-01-27,24.2
B11,2053-01-28,31.142857142857142
B11,2053-01-29,24.833333333333332
B11,2053-01-30,34.0
B11,2053-01-31,26.714285714285715
B11,2053-02-01,30.333333333333332
B11,2053-02-02,26.666666666666668
B11,2053-02-03,36.0
B11,2053-02-04,24.0
B11,2053-02-05,26.181818181818183
B11,2053-02-06,23.0
B11,2053-02-07,48.0
B11,2053-02-08,29.5
B11,2053-02-09,22.428571428571427
B11,2053-02-10,25.666666666666668
B11,2053-02-11,31.25
B11,2053-02-12,25.0
B11,2053-02-13,39.0
B11,2053-02-14,32.4
B11,2053-02-15,28.5
B11,2053-02-16,36.0
B11,2053-02-17,32.333333333333336
B11,2053-02-18,29.857142857142858
B11,2053-02-19,33.714285714285715
B11,2053-02-20,22.25
B11,2053-02-21,33.0
B11,2053-02-22,26.0
B11,2053-02-23,24.4
B11,2053-02-24,27.0
B11,2053-02-25,34.0
B11,2053-02-26,33.25
B11,2053-02-27,35.42857142857143
B11,2053-02-28,31.0
B11,2053-03-01,37.0
B11,2053-03-02,30.0
B11,2053-03-03,26.0
B11,2053-03-04,36.0
B11,2053-03-05,32.8
B11,2053-03-06,29.166666666666668
B11,2053-03-07,23.0
B11,2053-03-08,30.11111111111111
B11,2053-03-09,27.857142857142858
B11,2053-03-10,28.5
B11,2053-03-11,27.8
B11,2053-03-12,31.0
B11,2053-03-13,29.8
B11,2053-03-14,31.333333333333332
B11,2053-03-15,30.75
B11,2053-03-16,31.0
B11,2053-03-17,31.77777777777778
B11,2053-03-18,33.857142857142854
B11,2053-03-19,35.0
B11,2053-03-20,18.0
B11,2053-03-21,34.0
B11,2053-03-22,26.0
B11,2053-03-23,31.2
B11,2053-03-24,26.75
B11,2053-03-25,33.0
B11,2053-03-26,32.0
B11,2053-03-27,31.0
B11,2053-03-28,23.833333333333332
B11,2053-03-29,32.2
B11,2053-03-30,29.4
B11,2053-03-31,24.5
B11,2053-04-01,27.75
B11,2053-04-02,35.0
B11,2053-04-03,23.5
B11,2053-04-04,33.875
B11,2053-04-05,29.8
B11,2053-04-06,21.5
B11,2053-04-07,28.571428571428573
B11,2053-04-08,30.571428571428573
B11,2053-04-09,24.833333333333332
B11,2053-04-10,28.75
B11,2053-04-11,25.8
B11,2053-04-12,22.0
B11,2053-04-13,26.0
B11,2053-04-14,26.25
B11,2053-04-15,28.666666666666668
B11,2053-04-16,26.0
B11,2053-04-17,29.5
B11,2053-04-18,24.25
B11,2053-04-19,28.875
B11,2053-04-20,26.333333333333332
B11,2053-04-21,32.875
B11,2053-04-22,28.625
B11,2053-04-23,23.285714285714285
B11,2053-04-24,21.666666666666668
B11,2053-04-25,26.75
B11,2053-04-26,28.142857142857142
B11,2053-04-27,29.428571428571427
B11,2053-04-28,29.571428571428573
B11,2053-04-29,25.3
B11,2053-04-30,24.375
B11,2053-05-01,25.75
B11,2053-05-02,24.0
B11,2053-05-03,31.4
B11,2053-05-04,36.0
B11,2053-05-05,26.285714285714285
B11,2053-05-06,33.5
B11,2053-05-07,31.142857142857142
B11,2053-05-08,19.5
B11,2053-05-09,31.0
B11,2053-05-10,26.428571428571427
B11,2053-05-11,29.142857142857142
B11,2053-05-12,12.75
B11,2053-05-13,29.833333333333332
B11,2053-05-14,28.4
B11,2053-05-15,28.77777777777778
B11,2053-05-16,28.625
B11,2053-05-17,33.833333333333336
B11,2053-05-18,34.6
B11,2053-05-19,37.0
B11,2053-05-20,27.428571428571427
B11,2053-05-21,29.88888888888889
B11,2053-05-22,31.166666666666668
B11,2053-05-23,28.4
B11,2053-05-24,31.0
B11,2053-05-25,25.0
B11,2053-05-26,31.333333333333332
B11,2053-05-27,26.444444444444443
B11,2053-05-28,25.4
B11,2053-05-29,37.25
B11,2053-05-30,26.0
B11,2053-05-31,19.0
B11,2053-06-01,25.666666666666668
B11,2053-06-02,31.714285714285715
B11,2053-06-03,25.5
B11,2053-06-04,29.875
B11,2053-06-05,30.77777777777778
B11,2053-06-06,27.8
B11,2053-06-07,21.333333333333332
B11,2053-06-08,29.4
B11,2053-06-09,25.0
B11,2053-06-10,29.714285714285715
B11,2053-06-11,27.428571428571427
B11,2053-06-12,29.25
B11,2053-06-13,31.375
B11,2053-06-14,29.333333333333332
B11,2053-06-16,32.0
B11,2053-06-17,25.2
B11,2053-06-18,21.5
B11,2053-06-19,29.0
B11,2053-06-20,29.285714285714285
B11,2053-06-21,29.0
B11,2053-06-22,27.11111111111111
B11,2053-06-23,27.75
B11,2053-06-24,29.0
B11,2053-06-25,34.0
B11,2053-06-26,27.8
B11,2053-06-27,24.88888888888889
B11,2053-06-28,33.0
B11,2053-06-29,23.4
B11,2053-06-30,34.75
B11,2053-07-01,27.4
B11,2053-07-02,26.0
B11,2053-07-03,33.0
B11,2053-07-04,32.666666666666664
B11,2053-07-05,33.75
B11,2053-07-06,28.666666666666668
B11,2053-07-07,29.833333333333332
B11,2053-07-08,28.0
B11,2053-07-09,32.0
B11,2053-07-10,32.2
B11,2053-07-11,38.25
B11,2053-07-12,29.0
B11,2053-07-13,21.0
B11,2053-07-14,26.666666666666668
B11,2053-07-15,32.75
B11,2053-07-16,29.0
B11,2053-07-17,18.333333333333332
B11,2053-07-18,32.22222222222222
B11,2053-07-19,25.75
B11,2053-07-20,23.833333333333332
B11,2053-07-21,28.923076923076923
B11,2053-07-22,33.75
B11,2053-07-23,35.0
B11,2053-07-24,29.75
B11,2053-07-25,29.5
B11,2053-07-26,30.11111111111111
B11,2053-07-27,29.75
B11,2053-07-28,28.25
B11,2053-07-29,30.25
B11,2053-07-30,29.833333333333332
